features	1	2	3	4	5	mean	rank	sd
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Cutibacterium_granulosum	0.365057850470531	0.374609991910815	0.510538701571725	0.608121876669767	0.312769520859548	0.434219588296477	1	0.121607341260086
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_accolens	0.126380602259171	0.64687531721799	0.548655672283092	0.294672256715318	0.236097398246091	0.370536249344332	2	0.218821239443937
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Paracoccus.s__Paracoccus_sphaerophysae	0.276277504675802	0.145693313478739	0.654182347450883	0.310970862635843	0.445076051550577	0.366440015958369	3	0.19294719970314
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Moraxella.s__Moraxella_osloensis	0.413523518508398	0.0757018612841051	0.461474886339958	0.197662806242408	0.568752151339263	0.343423044742826	4	0.201583853027975
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Viruses_unclassified.f__Papillomaviridae.g__Gammapapillomavirus.s__Gammapapillomavirus_15	0.718891653823206	0.273023286546478	0.140989918207621	0.21276325176408	0.334958975499895	0.336125417168256	5	0.225715151355635
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Caudovirales_unclassified.g__Caudovirales_unclassified.s__Enterobacteria_phage_P4	0.117821557097996	0.315524759630675	0.466281273724911	0.147313231437528	0.485108550126627	0.306409874403547	6	0.172084613915693
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillales_unclassified.g__Enhydrobacter.s__Enhydrobacter_aerosaccus	0.260929345300283	0.245590886554432	0.511039163600937	0.241498093804169	0.212525914210291	0.294316680694022	7	0.122410257310818
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Podoviridae.g__P22virus.s__Shigella_virus_Sf6	0.444680487041849	0.153232657883688	0.36684965638205	0.0590235000126361	0.330770107222165	0.270911281708478	8	0.159473883431079
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Microbacterium_phage_Min1	0.196255537361119	0.22190457942906	0.41019763771934	0.138515764535949	0.25941340445484	0.245257384700062	9	0.102159174812245
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_dentocariosa	0.21792380490086	0.0987323635712032	0.415049137085562	0.255798273570302	0.0724720290963848	0.211995121644862	10	0.137368067897063
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Propionibacterium_namnetense	0.182765942697645	0.220914523713392	0.38163457423753	0.149000044323263	0.124958769605466	0.211854770915459	11	0.101556698895952
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Viruses_unclassified.f__Papillomaviridae.g__Betapapillomavirus.s__Betapapillomavirus_4	0.379920983989359	0.148591716285569	0.139218314187162	0.110535241807982	0.19339274433469	0.194331800120952	12	0.10793023415713
k__Eukaryota.p__Basidiomycota.c__Malasseziomycetes.o__Malasseziales.f__Malasseziaceae.g__Malassezia.s__Malassezia_restricta	0.149488672690123	0.156602313186308	0.355982862276538	0.0808064037516272	0.209426816560135	0.190461413692946	13	0.103206663841003
