features	1	2	3	4	5	mean	rank	sd
Pore	29.1764657353303	28.470190731967	27.8965824216103	22.6987220508325	22.0136109134413	26.0511143706363	1	3.4119449128998
Spot	30.4227226478107	24.4530035866277	24.9429330402027	21.284138921083	25.9292739720686	25.4064144335585	2	3.29976108389579
Ultravioletspot	23.4212842725084	21.5398125657594	21.3725500737611	23.7925280295282	22.1774504158749	22.4607250714864	3	1.09645135518037
Wrinkle	10.0069935040439	10.4435692411063	7.68078700183131	8.80202750034369	10.5151932606304	9.48971410159114	4	1.222104253612
Sebum	10.2084807256553	5.87957973054487	7.05373964092132	6.66340246561561	6.38961570438386	7.2389636534242	5	1.71412709901521
Whitening	7.51663612613257	6.07098455173896	5.7722107083734	5.92005858417218	4.91733465318833	6.03944492472109	6	0.939133547448906
Porphyrins	3.40238878077773	3.27563728136259	2.78872220363286	2.9533248588263	2.39317211646551	2.962649048213	7	0.401862579139952
Melanin	3.59387284984896	2.26812556380442	2.65901556625228	1.88705702679235	3.44438443947165	2.77049108923393	8	0.737791201366322
Texture	3.27082278073359	2.29007929188349	1.94906629385164	2.86280557587863	2.13865607392111	2.50228600325369	9	0.548619540600021
Hemoglobin	0.348460638238419	0.35801833424679	0.632550564882556	1.49669871510142	1.2058500054022	0.808315651574277	10	0.518900876277588
